,invoice_no,invoice_amount
2,489436,630.33
4,489438,2286.24
12,489446,996.1
21,489465,1197.8000000000002
25,489514,823.02
27,489519,696.73
28,489520,733.63
30,489522,700.31
31,489523,1160.0
33,489526,929.92
39,489537,633.33
40,489539,2887.14
46,489547,641.45
51,489557,603.94
54,489560,859.0999999999999
78,489597,5097.82
79,489598,822.37
80,489599,2454.68
91,489612,629.78
105,489641,622.1
107,489644,896.5400000000001
114,489656,1237.3
116,489658,828.09
129,489671,740.3
130,489672,772.65
133,489675,4939.22
134,489676,1210.8
137,489679,795.98
141,489683,1317.97
147,489702,3108.64
149,489723,2052.12
151,489726,750.0
152,489727,900.0
156,489748,754.2
172,489792,923.79
175,489795,935.01
189,489811,634.29
190,489812,597.6899999999999
191,489814,824.1800000000001
196,489819,618.4300000000001
206,489830,637.04
207,489831,1008.0
211,489835,714.0
215,489856,4463.74
216,489857,5741.96
218,489862,734.7
222,489866,1003.83
224,489868,675.0
227,489871,735.7
228,489872,632.9
240,489888,597.4
241,489889,4734.24
242,489890,976.8
261,489909,642.2
263,489912,1146.1000000000001
265,489914,993.0
278,490004,912.5600000000001
284,490010,1008.0
286,490012,763.35
288,490014,744.21
292,490018,4380.0
304,490048,1146.71
307,490052,831.0
314,490059,14475.0
316,490061,4000.0
320,490065,1260.0
322,490067,952.61
329,490074,6500.63
335,490081,723.09
337,490083,2506.14
340,490086,799.2
341,490087,898.1800000000001
345,490091,636.0
347,490093,1794.7
348,490094,851.76
351,490099,1225.98
352,490100,869.9300000000001
383,490142,1261.0
384,490143,1610.52
386,490145,989.18
389,490149,6529.11
392,490152,682.65
399,490161,825.94
402,490164,1058.4
411,490209,908.0400000000001
416,490229,1185.16
421,490277,1077.6
427,490286,762.1
437,490297,694.2
438,490298,1523.2
439,490299,621.22
444,490304,843.01
445,490305,726.57
451,490320,867.89
453,490324,672.0
455,490327,990.0
457,490340,630.39
488,490376,796.5500000000001
494,490382,760.69
501,490389,689.5
506,490394,870.2800000000001
512,490400,689.9
519,490458,817.4399999999999
520,490459,950.69
521,490461,720.79
524,490465,933.35
530,490472,619.24
532,490474,748.42
536,490479,1450.2
544,490488,647.82
550,490496,671.56
560,490511,626.6
588,490542,716.35
595,490563,808.12
601,490604,682.4
609,490612,610.95
620,490653,990.48
629,490672,660.96
632,490675,696.5400000000001
642,490685,1066.82
644,490687,924.95
651,490694,1244.3200000000002
659,490706,1088.63
672,490719,668.1
676,490724,716.04
687,490741,6370.46
688,490745,5201.38
692,490751,1429.83
703,490763,1019.9999999999999
710,490782,707.93
711,490785,2590.7999999999997
714,490796,870.63
718,490801,660.0
728,490817,1806.19
741,490899,792.84
